id,name,cuisine,price,rating,delivery_time,description,signature_dish,reviews,image1,image2
1,川味小厨,川菜,45,4.5,35,正宗川味，麻辣鲜香,麻婆豆腐、水煮鱼、宫保鸡丁,味道正宗，麻辣鲜香！|分量很足，性价比高|服务态度好，配送快,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop
2,湘味轩,湘菜,52,4.6,40,湖南风味，香辣下饭,剁椒鱼头、口味虾、小炒肉,湘菜很正宗，辣得过瘾|菜品新鲜，味道好|价格合理，值得推荐,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
3,粤式茶餐厅,粤菜,68,4.7,45,广式茶点，精致美味,虾饺、烧卖、叉烧包,茶点很精致，味道正宗|环境不错，适合聚餐|价格稍贵但值得,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
4,东北饺子王,东北菜,38,4.4,30,东北风味，分量十足,猪肉大葱饺子、锅包肉、地三鲜,饺子皮薄馅大，很好吃|分量真的很足|性价比超高,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
5,新疆大盘鸡,新疆菜,55,4.5,50,新疆特色，大盘实惠,大盘鸡、羊肉串、手抓饭,大盘鸡分量足，味道好|羊肉串很香|配送时间稍长但值得等,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
6,重庆小面,川菜,25,4.3,25,重庆小面，麻辣过瘾,重庆小面、豌杂面、红油抄手,小面很正宗，麻辣过瘾|价格便宜，性价比高|配送快，包装好,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
7,兰州拉面,面食,22,4.2,28,兰州拉面，汤鲜味美,牛肉拉面、羊肉拉面、凉拌牛肉,拉面劲道，汤很鲜|价格实惠|配送及时,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
8,沙县小吃,快餐,20,4.0,20,沙县小吃，经济实惠,扁肉、拌面、蒸饺,价格便宜，味道不错|配送很快|适合工作餐,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
9,黄焖鸡米饭,快餐,28,4.1,30,黄焖鸡米饭，嫩滑香浓,黄焖鸡米饭、黄焖排骨,鸡肉嫩滑，米饭香|价格实惠|配送准时,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop
10,麻辣香锅,川菜,58,4.6,40,麻辣香锅，食材丰富,麻辣香锅、干锅牛蛙,食材新鲜，味道好|可以自选配菜|分量足,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
11,日式拉面屋,日式,48,4.4,35,日式拉面，汤底浓郁,豚骨拉面、味增拉面、日式炸鸡,拉面汤底浓郁，很正宗|环境干净|价格适中,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
12,韩式烤肉,韩式,85,4.5,45,韩式烤肉，肉质鲜嫩,韩式烤肉、石锅拌饭、泡菜汤,肉质新鲜，烤得很好|配菜丰富|价格稍贵但值得,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
